Table 78,,,,,,
Full-time Law Enforcement Employees ,,,,,,
"by State by City, 2006",,,,,,
State,City,Total law enforcement employees,Total officers,Total civilians,,
,Central City,7,6,1,,
,Cherry Hills Village,21,18,3,,
,Collbran,2,2,0,,
,Colorado Springs,994,681,313,,
,Columbine Valley,6,6,0,,
,Commerce City,97,73,24,,
,Cortez,52,28,24,,
,Craig,29,23,6,,
,Crested Butte,8,6,2,,
,Cripple Creek,24,13,11,,
,Dacono,12,10,2,,
,De Beque,2,2,0,,
,Del Norte,6,5,1,,
,Delta,20,17,3,,
,Denver,"1,824","1,497",327,,
,Dillon,10,9,1,,
,Durango,61,52,9,,
,Eagle,11,9,2,,
,Eaton,9,8,1,,
,Edgewater,17,14,3,,
,Elizabeth,6,5,1,,
,Empire,1,1,0,,
,Englewood,100,69,31,,
,Erie,21,19,2,,
,Estes Park,25,18,7,,
,Evans,33,30,3,,
,Federal Heights,33,24,9,,
,Firestone,22,17,5,,
,Florence,21,8,13,,
,Fort Collins,246,156,90,,
,Fort Lupton,22,18,4,,
,Fort Morgan,34,28,6,,
,Fountain,51,38,13,,
,Fowler,2,2,0,,
,Fraser/Winter Park,9,8,1,,
,Frederick,20,18,2,,
,Frisco,14,13,1,,
,Fruita,15,13,2,,
,Georgetown,3,3,0,,
,Gilcrest,3,3,0,,
,Glendale,35,24,11,,
,Glenwood Springs,28,22,6,,
,Golden,56,42,14,,
,Grand Junction,160,95,65,,
,Greeley,232,132,100,,
,Green Mountain Falls,2,2,0,,
,Greenwood Village,81,62,19,,
,Gunnison,28,15,13,,
,Haxtun,3,3,0,,
,Hayden,5,5,0,,
,Holyoke,4,4,0,,
,Hotchkiss,3,3,0,,
,Hugo,3,3,0,,
,Idaho Springs,9,7,2,,
,Ignacio,8,7,1,,
,Johnstown,15,13,2,,
,Kersey,4,4,0,,
,Kiowa,2,2,0,,
,Kremmling,4,4,0,,
,Lafayette,49,38,11,,
,La Junta,18,15,3,,
,Lakeside,5,5,0,,
,Lakewood,396,263,133,,
,Lamar,23,18,5,,
,La Salle,6,6,0,,
,Las Animas,7,6,1,,
,La Veta,4,3,1,,
,Leadville,10,8,2,,
,Limon,6,5,1,,
,Littleton,93,70,23,,
,Lochbuie,6,6,0,,
,Log Lane Village,3,3,0,,
,Lone Tree,40,37,3,,
,Longmont,156,121,35,,
,Louisville,38,33,5,,
,Loveland,122,85,37,,
,Mancos,3,2,1,,
,Manitou Springs,16,15,1,,
,Manzanola,1,1,0,,
,Meeker,8,6,2,,
,Milliken,10,9,1,,
,Minturn,3,2,1,,
,Monte Vista,15,11,4,,
,Montrose,52,35,17,,
,Monument,16,13,3,,
,Morrison,3,2,1,,
,Mountain View,6,5,1,,
,Mount Crested Butte,8,7,1,,
,Nederland,6,5,1,,
,New Castle,7,6,1,,
,Northglenn,88,64,24,,
,Oak Creek,2,2,0,,
,Olathe,6,5,1,,
,Ouray,5,5,0,,
,Pagosa Springs,9,8,1,,
,Palisade,8,6,2,,
,Palmer Lake,5,4,1,,
,Paonia,4,4,0,,
,Parachute,8,7,1,,
,Parker,75,53,22,,
,Platteville,8,7,1,,
,Pueblo,245,190,55,,
,Rangely,7,3,4,,
,Ridgway,3,3,0,,
,Rifle,22,18,4,,
,Rocky Ford,11,9,2,,
,Salida,17,15,2,,
,Sheridan,34,25,9,,
,Silt,7,6,1,,
,Silverthorne,17,14,3,,
,Simla,2,2,0,,
,Snowmass Village,14,10,4,,
,South Fork,3,3,0,,
,Springfield,2,2,0,,
,Steamboat Springs,36,24,12,,
,Sterling,19,16,3,,
,Stratton,1,1,0,,
,Telluride,15,10,5,,
,Thornton,178,144,34,,
,Trinidad,30,20,10,,
,Vail,55,25,30,,
,Victor,5,4,1,,
,Walsenburg,20,11,9,,
,Walsh,1,1,0,,
,Westminster,254,173,81,,
,Wheat Ridge,100,70,30,,
,Wiggins,2,2,0,,
,Windsor,20,17,3,,
,Woodland Park,28,20,8,,
,Wray,6,5,1,,
,Yuma,6,5,1,,
CONNECTICUT,Ansonia,50,43,7,,
,Avon,39,31,8,,
,Berlin,51,40,11,,
,Bethel,48,35,13,,
,Bloomfield,60,51,9,,
,Branford,62,49,13,,
,Bridgeport,513,410,103,,
,Bristol,149,124,25,,
,Brookfield,41,31,10,,
,Canton,20,15,5,,
,Cheshire,59,48,11,,
,Clinton,29,26,3,,
,Coventry,16,12,4,,
,Cromwell,34,25,9,,
,Danbury,153,147,6,,
,Darien,56,50,6,,
,Derby,28,27,1,,
,East Hampton,18,16,2,,
,East Hartford,166,128,38,,
,East Haven,51,48,3,,
,Easton,18,15,3,,
,East Windsor,31,24,7,,
,Enfield,110,92,18,,
,Fairfield,114,108,6,,
,Farmington,60,44,16,,
,Glastonbury,75,59,16,,
,Granby,20,15,5,,
,Greenwich,172,147,25,,
,Groton,37,29,8,,
,Groton Long Point,10,7,3,,
,Groton Town,69,65,4,,
,Guilford,47,38,9,,
,Hamden,118,95,23,,
,Hartford,469,410,59,,
,Madison,26,23,3,,
,Manchester,151,119,32,,
,Meriden,137,124,13,,
,Middlebury,17,11,6,,
,Middletown,107,95,12,,
,Milford,121,105,16,,
,Monroe,47,36,11,,
,Naugatuck,67,55,12,,
,New Britain,169,157,12,,
,New Canaan,50,45,5,,
,New Haven,489,406,83,,
,Newington,58,45,13,,
,New London,91,75,16,,
,New Milford,64,47,17,,
,Newtown,49,43,6,,
,North Branford,28,23,5,,
,North Haven,55,46,9,,
,Norwalk,188,171,17,,
,Norwich,97,78,19,,
,Old Saybrook,30,21,9,,
,Orange,49,38,11,,
,Plainfield,21,17,4,,
,Plainville,43,35,8,,
,Plymouth,21,21,0,,
,Portland,11,10,1,,
,Putnam,18,14,4,,
,Redding,22,16,6,,
,Ridgefield,48,42,6,,
,Rocky Hill,43,34,9,,
,Seymour,41,39,2,,
,Shelton,64,54,10,,
,Simsbury,45,35,10,,
,Southington,79,62,17,,
,South Windsor,54,41,13,,
,Stamford,342,284,58,,
,Stonington,48,36,12,,
,Stratford,107,104,3,,
,Suffield,24,19,5,,
,Thomaston,16,13,3,,
,Torrington,87,76,11,,
,Trumbull,83,72,11,,
,Vernon,62,48,14,,
,Wallingford,92,71,21,,
,Waterbury,354,294,60,,
,Waterford,53,46,7,,
,Watertown,49,38,11,,
,West Hartford,135,116,19,,
,West Haven,129,116,13,,
,Weston,17,16,1,,
,Westport,90,70,20,,
,Wethersfield,57,46,11,,
,Willimantic,46,41,5,,
,Wilton,47,43,4,,
,Winchester,28,23,5,,
,Windsor,62,51,11,,
,Windsor Locks,30,24,6,,
,Wolcott,33,24,9,,
,Woodbridge,34,26,8,,
DELAWARE,Bethany Beach,10,10,0,,
,Blades,2,2,0,,
,Bridgeville,7,7,0,,
,Camden,17,15,2,,
,Cheswold,5,5,0,,
,Clayton,8,8,0,,
,Dagsboro,2,2,0,,
,Delaware City,4,4,0,,
,Delmar,13,12,1,,
,Dewey Beach,8,8,0,,
,Dover,119,90,29,,
,Ellendale,2,2,0,,
,Elsmere,11,10,1,,
,Felton,4,4,0,,
,Fenwick Island,6,6,0,,
,Georgetown,19,18,1,,
,Greenwood,2,1,1,,
,Harrington,11,10,1,,
,Laurel,11,10,1,,
,Lewes,14,13,1,,
,Milford,39,30,9,,
,Millsboro,13,12,1,,
,Milton,10,9,1,,
,Newark,78,62,16,,
,New Castle,19,17,2,,
,Newport,9,9,0,,
,Ocean View,9,8,1,,
,Rehoboth Beach,27,17,10,,
,Seaford,32,23,9,,
,Selbyville,7,6,1,,
,Smyrna,28,21,7,,
,South Bethany,6,6,0,,
,Wilmington,364,285,79,,
,Wyoming,4,4,0,,
DISTRICT OF COLUMBIA,Washington,"4,342","3,799",543,,
FLORIDA,Alachua,29,22,7,,
,Altamonte Springs,122,103,19,,
,Apalachicola,9,8,1,,
,Apopka,89,79,10,,
,Arcadia,24,20,4,,
,Astatula,4,4,0,,
,Atlantic Beach,39,28,11,,
,Atlantis,16,11,5,,
,Auburndale,42,30,12,,
,Aventura,108,76,32,,
,Avon Park,39,26,13,,
,Bal Harbour Village,34,26,8,,
,Bartow,68,43,25,,
,Bay Harbor Island,31,25,6,,
,Belleair,8,6,2,,
,Belleair Beach,5,5,0,,
,Belleair Bluffs,5,5,0,,
,Belle Glade,25,19,6,,
,Belleview,17,15,2,,
,Biscayne Park,12,11,1,,
,Blountstown,12,8,4,,
,Boca Raton,273,188,85,,
,Bonifay,6,5,1,,
,Bowling Green,7,7,0,,
,Boynton Beach,210,150,60,,
,Bradenton,148,119,29,,
,Bradenton Beach,10,10,0,,
,Brooksville,30,21,9,,
,Bunnell,11,9,2,,
,Cape Coral,333,209,124,,
,Carrabelle,6,6,0,,
,Casselberry,85,55,30,,
,Cedar Grove,6,5,1,,
,Cedar Key,5,5,0,,
,Center Hill,4,4,0,,
,Chattahoochee,11,10,1,,
,Chiefland,14,11,3,,
,Chipley,14,13,1,,
,Clearwater,375,255,120,,
,Clermont,56,41,15,,
,Clewiston,28,18,10,,
,Cocoa,89,65,24,,
,Cocoa Beach,50,34,16,,
,Coconut Creek,119,81,38,,
,Coleman,2,2,0,,
,Cooper City,72,53,19,,
,Coral Gables,258,184,74,,
,Coral Springs,292,197,95,,
,Cottondale,3,3,0,,
,Crescent City,9,8,1,,
,Crestview,49,39,10,,
,Cross City,5,5,0,,
,Crystal River,22,19,3,,
,Dade City,30,22,8,,
,Dania,74,65,9,,
,Davenport,9,8,1,,
,Davie,231,174,57,,
,Daytona Beach Shores,41,31,10,,
,Deerfield Beach,149,120,29,,
,De Funiak Springs,17,16,1,,
,Deland,71,52,19,,
,Delray Beach,221,149,72,,
,Doral,87,84,3,,
,Dundee,14,9,5,,
,Dunedin,41,40,1,,
,Dunnellon,11,9,2,,
,Eagle Lake,5,5,0,,
,Eatonville,16,14,2,,
,Edgewater,36,32,4,,
,Edgewood,12,11,1,,
,El Portal,10,10,0,,
,Eustis,58,45,13,,
,Fellsmere,9,8,1,,
,Fernandina Beach,42,34,8,,
,Flagler Beach,19,16,3,,
,Florida City,41,29,12,,
,Fort Lauderdale,678,483,195,,
,Fort Meade,20,13,7,,
,Fort Myers,282,194,88,,
,Fort Pierce,146,111,35,,
,Fort Walton Beach,64,47,17,,
,Frostproof,12,8,4,,
,Fruitland Park,12,11,1,,
,Gainesville,350,278,72,,
,Golden Beach,18,17,1,,
,Graceville,9,7,2,,
,Greenacres City,66,46,20,,
,Green Cove Springs,28,23,5,,
,Greensboro,1,1,0,,
,Gretna,1,1,0,,
,Groveland,29,22,7,,
,Gulf Breeze,27,19,8,,
,Gulfport,39,29,10,,
,Gulf Stream,11,11,0,,
,Haines City,62,44,18,,
,Hallandale,121,87,34,,
,Havana,13,8,5,,
,Hialeah,472,352,120,,
,Hialeah Gardens,41,31,10,,
,Highland Beach,12,11,1,,
,High Springs,18,13,5,,
,Hillsboro Beach,16,12,4,,
,Holly Hill,36,30,6,,
,Hollywood,507,327,180,,
,Holmes Beach,20,13,7,,
,Homestead,144,106,38,,
,Howey-in-the-Hills,6,6,0,,
,Hypoluxo,4,4,0,,
,Indialantic,17,11,6,,
,Indian Creek Village,17,11,6,,
,Indian Harbour Beach,25,18,7,,
,Indian River Shores,20,19,1,,
,Indian Rocks Beach,10,10,0,,
,Indian Shores,12,11,1,,
,Inglis,6,5,1,,
,Interlachen,3,3,0,,
,Jacksonville,"2,858","1,690","1,168",,
,Jacksonville Beach,76,56,20,,
,Jasper,9,8,1,,
,Jennings,1,1,0,,
,Juno Beach,18,14,4,,
,Jupiter,138,104,34,,
,Jupiter Inlet Colony,4,4,0,,
,Jupiter Island,17,13,4,,
,Kenneth City,15,13,2,,
,Key Biscayne,39,27,12,,
,Key Colony Beach,6,6,0,,
,Key West,127,92,35,,
,Kissimmee,195,127,68,,
,Lady Lake,41,28,13,,
,Lake Alfred,14,9,5,,
,Lake City,55,40,15,,
,Lake Clarke Shores,11,11,0,,
,Lake Hamilton,7,6,1,,
,Lake Helen,8,7,1,,
,Lakeland,364,235,129,,
,Lake Mary,52,36,16,,
,Lake Park,26,24,2,,
,Lake Placid,11,9,2,,
,Lake Wales,61,42,19,,
,Lake Worth,117,85,32,,
,Lantana,37,28,9,,
,Largo,186,134,52,,
,Lauderdale-by-the-Sea,27,25,2,,
,Lauderdale Lakes,72,55,17,,
,Lauderhill,140,114,26,,
,Lawtey,1,1,0,,
,Leesburg,98,72,26,,
,Lighthouse Point,38,29,9,,
,Live Oak,19,16,3,,
,Longboat Key,28,20,8,,
,Longwood,47,40,7,,
,Lynn Haven,43,32,11,,
,Madeira Beach,11,11,0,,
,Madison,15,14,1,,
,Maitland,52,41,11,,
,Manalapan,15,10,5,,
,Mangonia Park,12,11,1,,
,Marco Island,33,31,2,,
,Margate,190,118,72,,
,Marianna,22,15,7,,
,Mascotte,13,12,1,,
,Medley,39,32,7,,
,Melbourne,221,160,61,,
,Melbourne Beach,10,9,1,,
,Melbourne Village,5,5,0,,
,Mexico Beach,7,6,1,,
,Miami,"1,380","1,058",322,,
,Miami Beach,539,386,153,,
,Miami Gardens,162,143,19,,
,Miami Lakes,47,46,1,,
,Miami Shores,42,30,12,,
,Miami Springs,52,41,11,,
,Milton,28,21,7,,
,Miramar,218,168,50,,
,Monticello,13,9,4,,
,Mount Dora,48,32,16,,
,Mulberry,18,14,4,,
,Naples,115,74,41,,
,Neptune Beach,27,18,9,,
,New Port Richey,47,36,11,,
,New Smyrna Beach,59,49,10,,
,Niceville,23,18,5,,
,North Bay Village,34,26,8,,
,North Lauderdale,67,57,10,,
,North Miami,163,124,39,,
,North Miami Beach,156,117,39,,
,North Palm Beach,41,30,11,,
,North Port,94,74,20,,
,North Redington Beach,2,2,0,,
,Oak Hill,6,6,0,,
,Oakland,10,9,1,,
,Oakland Park,93,83,10,,
,Ocala,243,158,85,,
,Ocean Ridge,18,13,5,,
,Ocoee,89,66,23,,
,Okeechobee,29,20,9,,
,Oldsmar,16,16,0,,
,Opa Locka,41,31,10,,
,Orange City,26,23,3,,
,Orange Park,26,21,5,,
,Orlando,972,695,277,,
,Ormond Beach,101,70,31,,
,Oviedo,76,59,17,,
,Pahokee,17,15,2,,
,Palatka,48,39,9,,
,Palm Bay,226,154,72,,
,Palm Beach,129,76,53,,
,Palm Beach Gardens,146,110,36,,
,Palm Beach Shores,16,11,5,,
,Palmetto,46,33,13,,
,Palmetto Bay,42,39,3,,
,Palm Springs,50,38,12,,
,Panama City,135,95,40,,
,Panama City Beach,69,54,15,,
,Parker,10,9,1,,
,Parkland,32,29,3,,
,Pembroke Park,13,12,1,,
,Pembroke Pines,310,243,67,,
,Pensacola,204,152,52,,
,Perry,23,21,2,,
,Pinellas Park,134,100,34,,
,Plantation,281,176,105,,
,Plant City,85,66,19,,
,Pompano Beach,300,218,82,,
,Ponce Inlet,18,12,6,,
,Port Orange,97,81,16,,
,Port Richey,20,14,6,,
,Port St. Joe,13,11,2,,
,Port St. Lucie,293,228,65,,
,Quincy,36,24,12,,
,Redington Beaches,2,2,0,,
,Riviera Beach,139,99,40,,
,Rockledge,65,46,19,,
,Royal Palm Beach,53,49,4,,
,Safety Harbor,15,15,0,,
,Sanford,143,120,23,,
,Sanibel,34,24,10,,
,Sarasota,259,193,66,,
,Satellite Beach,32,23,9,,
,Sea Ranch Lakes,11,7,4,,
,Sebastian,51,38,13,,
,Sebring,37,30,7,,
,Seminole,19,19,0,,
,Sewall's Point,6,6,0,,
,Shalimar,4,4,0,,
,Sneads,8,5,3,,
,South Bay,9,8,1,,
,South Daytona,34,25,9,,
,South Miami,56,49,7,,
,South Palm Beach,8,8,0,,
,South Pasadena,10,10,0,,
,Southwest Ranches,10,10,0,,
,Springfield,19,17,2,,
,Starke,27,19,8,,
,St. Augustine,59,46,13,,
,St. Augustine Beach,16,14,2,,
,St. Cloud,85,56,29,,
,St. Pete Beach,40,29,11,,
,St. Petersburg,733,504,229,,
,Stuart,62,44,18,,
,Sunny Isles Beach,63,47,16,,
,Sunrise,272,170,102,,
,Surfside,41,28,13,,
,Sweetwater,47,21,26,,
,Tallahassee,490,354,136,,
,Tamarac,88,71,17,,
,Tampa,"1,330",983,347,,
,Tarpon Springs,60,46,14,,
,Tavares,31,28,3,,
,Temple Terrace,72,51,21,,
,Tequesta,26,19,7,,
,Titusville,127,86,41,,
,Treasure Island,27,20,7,,
,Trenton,4,3,1,,
,Umatilla,10,9,1,,
,Valparaiso,14,10,4,,
,Venice,68,50,18,,
,Vero Beach,82,56,26,,
,Village of Pinecrest,68,50,18,,
,Virginia Gardens,9,7,2,,
,Waldo,7,6,1,,
,Wauchula,18,13,5,,
,Webster,2,2,0,,
,Welaka,1,1,0,,
,Wellington,53,49,4,,
,West Melbourne,39,29,10,,
,West Miami,19,16,3,,
,Weston,92,61,31,,
,West Palm Beach,390,287,103,,
,White Springs,4,4,0,,
,Wildwood,22,16,6,,
,Williston,19,11,8,,
,Wilton Manors,39,27,12,,
,Windermere,17,13,4,,
,Winter Garden,66,49,17,,
,Winter Haven,104,72,32,,
,Winter Park,112,86,26,,
,Winter Springs,91,70,21,,
,Zephyrhills,47,33,14,,
,Zolfo Springs,4,3,1,,
GEORGIA,Acworth,46,35,11,,
,Adairsville,17,14,3,,
,Adel,20,17,3,,
,Adrian,2,2,0,,
,Alamo,3,3,0,,
,Albany,215,184,31,,
,Alma,12,10,2,,
,Alpharetta,133,99,34,,
,Americus,44,36,8,,
,Aragon,5,4,1,,
,Arlington,3,3,0,,
,Athens-Clarke County,281,225,56,,
,Atlanta,"2,182","1,669",513,,
,Attapulgus,1,1,0,,
,Auburn,22,16,6,,
,Austell,31,23,8,,
,Avondale Estates,10,10,0,,
,Baldwin,12,8,4,,
,Ball Ground,3,3,0,,
,Barnesville,18,16,2,,
,Bartow,2,1,1,,
,Barwick,2,1,1,,
,Baxley,14,12,2,,
,Blairsville,8,7,1,,
,Bloomingdale,14,11,3,,
,Blythe,1,1,0,,
,Bowdon,11,8,3,,
,Braselton,13,12,1,,
,Bremen,25,20,5,,
,Brooklet,3,3,0,,
,Broxton,4,4,0,,
,Brunswick,74,66,8,,
,Buchanan,10,9,1,,
,Buena Vista,4,4,0,,
,Byron,19,16,3,,
,Cairo,24,21,3,,
,Calhoun,50,44,6,,
,Camilla,20,16,4,,
,Canton,46,39,7,,
,Carrollton,71,60,11,,
,Cartersville,57,49,8,,
,Cave Spring,5,5,0,,
,Cedartown,34,32,2,,
,Centerville,19,16,3,,
,Chamblee,45,32,13,,
,Chatsworth,17,14,3,,
,Clarkesville,6,5,1,,
,Clarkston,20,15,5,,
,Claxton,9,8,1,,
,Clayton,11,10,1,,
,Cleveland,12,11,1,,
,Cochran,16,15,1,,
,College Park,133,108,25,,
,Colquitt,10,9,1,,
,Columbus,452,349,103,,
,Commerce,28,22,6,,
,Conyers,58,45,13,,
,Coolidge,3,3,0,,
,Cordele,36,30,6,,
,Covington,64,54,10,,
,Crawfordville,1,1,0,,
,Cumming,21,15,6,,
,Cuthbert,9,5,4,,
,Dallas,19,14,5,,
,Dalton,106,89,17,,
,Danielsville,2,2,0,,
,Darien,5,5,0,,
,Davisboro,2,1,1,,
,Dawson,20,14,6,,
,Decatur,49,35,14,,
,Demorest,5,3,2,,
,Dillard,2,2,0,,
,Donalsonville,11,9,2,,
,Doraville,61,40,21,,
,Douglas,41,33,8,,
,Douglasville,92,74,18,,
,Dublin,55,47,8,,
,Duluth,65,54,11,,
,East Dublin,8,8,0,,
,East Ellijay,8,8,0,,
,Eastman,13,12,1,,
,East Point,175,121,54,,
,Eatonton,21,15,6,,
,Edison,2,2,0,,
,Elberton,20,17,3,,
,Ellaville,5,5,0,,
,Emerson,8,8,0,,
,Eton,3,3,0,,
,Euharlee,12,11,1,,
,Fairburn,30,27,3,,
,Fairmount,3,3,0,,
,Fayetteville,47,42,5,,
,Fitzgerald,35,30,5,,
,Folkston,7,6,1,,
,Forest Park,85,64,21,,
,Forsyth,27,21,6,,
,Fort Gaines,6,6,0,,
,Fort Oglethorpe,28,26,2,,
,Fort Valley,35,31,4,,
,Franklin Springs,3,2,1,,
,Gainesville,121,101,20,,
,Garden City,39,34,5,,
,Glennville,18,13,5,,
,Gray,12,11,1,,
,Greensboro,18,14,4,,
,Greenville,7,6,1,,
,Griffin,124,96,28,,
,Grovetown,30,18,12,,
,Hagan,2,2,0,,
,Hahira,7,5,2,,
,Hamilton,1,1,0,,
,Hapeville,47,34,13,,
,Harlem,12,7,5,,
,Hazlehurst,15,13,2,,
,Helen,13,9,4,,
,Hephzibah,6,6,0,,
,Hiawassee,5,4,1,,
,Hinesville,91,79,12,,
,Hiram,16,14,2,,
,Hogansville,18,11,7,,
,Hoschton,7,6,1,,
,Ivey,3,3,0,,
,Jasper,15,13,2,,
,Jefferson,27,25,2,,
,Jonesboro,21,18,3,,
,Kingsland,42,38,4,,
,LaGrange,101,82,19,,
,Lake Park,2,2,0,,
,Lavonia,14,13,1,,
,Lawrenceville,78,61,17,,
,Lenox,2,1,1,,
,Leslie,2,2,0,,
,Locust Grove,22,20,2,,
,Loganville,28,25,3,,
,Lookout Mountain,7,7,0,,
,Ludowici,10,6,4,,
,Lumber City,4,3,1,,
,Luthersville,4,3,1,,
,Macon,359,272,87,,
,Madison,14,12,2,,
,Manchester,27,11,16,,
,Marietta,168,136,32,,
,Marshallville,5,4,1,,
,Maysville,3,3,0,,
,McDonough,47,42,5,,
,McIntyre,5,5,0,,
,McRae,7,6,1,,
,Meigs,4,4,0,,
,Metter,11,10,1,,
,Midville,3,2,1,,
,Milledgeville,61,41,20,,
,Monroe,44,39,5,,
,Monticello,14,12,2,,
,Morrow,36,33,3,,
,Morven,2,2,0,,
,Moultrie,47,42,5,,
,Mount Airy,1,1,0,,
,Mount Zion,5,4,1,,
,Nahunta,3,3,0,,
,Nashville,20,16,4,,
,Nelson,1,1,0,,
,Newington,1,1,0,,
,Newnan,80,67,13,,
,Newton,2,2,0,,
,Nicholls,3,2,1,,
,Norcross,41,31,10,,
,Norman Park,4,3,1,,
,Oakwood,10,8,2,,
,Oglethorpe,3,2,1,,
,Omega,3,3,0,,
,Oxford,3,3,0,,
,Palmetto,14,11,3,,
,Patterson,2,2,0,,
,Pavo,3,3,0,,
,Peachtree City,61,57,4,,
,Pearson,6,5,1,,
,Pelham,10,9,1,,
,Pembroke,8,6,2,,
,Pendergrass,4,4,0,,
,Perry,40,36,4,,
,Pine Lake,4,3,1,,
,Pine Mountain,6,6,0,,
,Pooler,30,25,5,,
,Porterdale,6,6,0,,
,Port Wentworth,24,21,3,,
,Poulan,4,4,0,,
,Powder Springs,37,31,6,,
,Quitman,19,13,6,,
,Reidsville,9,8,1,,
,Remerton,7,6,1,,
,Richland,3,3,0,,
,Richmond Hill,29,23,6,,
,Rincon,14,12,2,,
,Riverdale,37,33,4,,
,Roberta,3,3,0,,
,Rome,106,91,15,,
,Rossville,11,10,1,,
,Roswell,194,129,65,,
,Royston,24,20,4,,
,Sale City,1,1,0,,
,Sandersville,20,17,3,,
,Savannah-Chatham Metropolitan,708,539,169,,
,Shiloh,2,1,1,,
,Smyrna,118,90,28,,
,Snellville,54,44,10,,
,Sparks,5,4,1,,
,Springfield,5,4,1,,
,Statesboro,72,59,13,,
,Statham,6,6,0,,
,St. Marys,41,37,4,,
,Stone Mountain,20,19,1,,
,Summerville,19,18,1,,
,Suwanee,38,30,8,,
,Sycamore,1,1,0,,
,Sylvania,14,11,3,,
,Sylvester,22,16,6,,
,Tallapoosa,15,14,1,,
,Tallulah Falls,2,2,0,,
,Temple,11,11,0,,
,Tennille,8,8,0,,
,Thomaston,29,26,3,,
,Thomasville,64,57,7,,
,Thomson,15,13,2,,
,Thunderbolt,10,9,1,,
,Tifton,56,46,10,,
,Trenton,7,7,0,,
,Trion,9,8,1,,
,Tunnel Hill,4,3,1,,
,Tybee Island,24,17,7,,
,Tyrone,17,15,2,,
,Unadilla,4,4,0,,
,Union City,61,44,17,,
,Valdosta,139,127,12,,
,Varnell,5,5,0,,
,Vidalia,37,28,9,,
,Vienna,7,7,0,,
,Villa Rica,40,32,8,,
,Warm Springs,2,1,1,,
,Warner Robins,139,110,29,,
,Warwick,2,2,0,,
,Watkinsville,7,7,0,,
,Waverly Hall,3,3,0,,
,Waycross,62,52,10,,
,Waynesboro,24,18,6,,
,West Point,17,14,3,,
,Willacoochee,3,3,0,,
,Winder,48,40,8,,
,Winterville,2,2,0,,
,Woodbury,9,6,3,,
,Woodstock,50,41,9,,
,Wrens,12,7,5,,
,Zebulon,6,6,0,,
HAWAII,Honolulu,"2,532","2,053",479,,
IDAHO,Aberdeen,8,5,3,,
,American Falls,8,7,1,,
,Bellevue,5,4,1,,
,Blackfoot,27,24,3,,
,Boise,344,268,76,,
,Bonners Ferry,8,8,0,,
,Buhl,10,8,2,,
,Caldwell,73,58,15,,
,Cascade,6,5,1,,
,Challis,1,1,0,,
,Chubbuck,31,19,12,,
,Coeur d'Alene,80,66,14,,
,Cottonwood,1,1,0,,
,Emmett,14,13,1,,
,Filer,5,5,0,,
,Fruitland,9,8,1,,
,Garden City,35,27,8,,
,Gooding,8,7,1,,
,Grangeville,6,6,0,,
,Hagerman,2,2,0,,
,Hailey,17,15,2,,
,Heyburn,6,5,1,,
,Homedale,5,5,0,,
,Idaho City,1,1,0,,
,Idaho Falls,126,88,38,,
,Jerome,17,15,2,,
,Kamiah,2,2,0,,
,Kellogg,8,7,1,,
,Ketchum,28,12,16,,
,Kimberly,7,7,0,,
,Lewiston,66,44,22,,
,McCall,11,9,2,,
,Meridian,82,68,14,,
,Montpelier,6,6,0,,
,Moscow,41,34,7,,
,Mountain Home,32,25,7,,
,Nampa,150,108,42,,
,Orofino,6,5,1,,
,Osburn,2,2,0,,
,Parma,4,4,0,,
,Payette,13,11,2,,
,Pinehurst,5,2,3,,
,Pocatello,126,89,37,,
,Ponderay,5,4,1,,
,Post Falls,54,33,21,,
,Preston,7,6,1,,
,Rathdrum,13,11,2,,
,Rexburg,41,34,7,,
,Rigby,8,7,1,,
,Rupert,16,15,1,,
,Salmon,7,6,1,,
,Sandpoint,26,21,5,,
,Shelley,7,7,0,,
,Soda Springs,8,7,1,,
,Spirit Lake,4,4,0,,
,St. Anthony,6,6,0,,
,St. Maries,5,5,0,,
,Sun Valley,10,9,1,,
,Twin Falls,94,64,30,,
,Weiser,14,12,2,,
,Wendell,6,5,1,,
,Wilder,3,3,0,,
ILLINOIS,Abingdon,3,3,0,,
,Addison,91,66,25,,
,Albany,1,1,0,,
,Albion,3,3,0,,
,Aledo,7,6,1,,
,Algonquin,55,48,7,,
,Alorton,8,8,0,,
,Alsip,47,36,11,,
,Altamont,5,5,0,,
,Alton,89,65,24,,
,Amboy,4,4,0,,
,Anna,8,8,0,,
,Annawan,1,1,0,,
,Antioch,39,26,13,,
,Arcola,6,5,1,,
,Argenta,1,1,0,,
,Arlington Heights,150,113,37,,
,Arthur,4,4,0,,
,Ashland,1,1,0,,
,Assumption,1,1,0,,
,Athens,3,3,0,,
,Atkinson,2,2,0,,
,Atlanta,1,1,0,,
,Atwood,3,3,0,,
,Auburn,10,6,4,,
,Aurora,360,286,74,,
,Aviston,1,1,0,,
,Bannockburn,7,7,0,,
,Barrington Hills,27,19,8,,
,Barrington-Inverness,41,34,7,,
,Barry,1,1,0,,
,Bartlett,66,49,17,,
,Bartonville,16,11,5,,
,Batavia,50,43,7,,
,Beardstown,12,8,4,,
,Beckemeyer,1,1,0,,
,Bedford Park,45,36,9,,
,Beecher,9,8,1,,
,Belleville,100,81,19,,
,Bellwood,42,39,3,,
,Belvidere,46,41,5,,
,Benld,4,4,0,,
,Bensenville,41,33,8,,
,Benton,9,8,1,,
,Berkeley,20,16,4,,
,Berwyn,120,92,28,,
